group,variable,value
Horror,Crime,5.34210053859964
Horror,Romance,5.436253041362535
Horror,Family,5.3112676056338035
Horror,Drama,5.444191983660962
Horror,Musical,5.606060606060606
Horror,War,5.054545454545455
Horror,Animation,6.246666666666668
Horror,Sport,4.609090909090909
Horror,History,5.858181818181817
Horror,Music,5.498684210526314
Horror,Biography,5.9899999999999975
Horror,Documentary,6.331531531531533
